"X.U.FEFF.Comment","text_tokens","V3"
"Fatima Molina Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","fatima molina hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Luis Palacios Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","luis palacio hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Pero también expliquen que cuando quieran pensionarse van a tener que pagar el total más la rentabilidad que dejó de persibir o sea un platal, o sino que se espere los años equivalentes para poderse pensionar."," ","pero también explicar que cuando querer pensionarse ir a tener que pagar el total más el rentabilidad que dejar de persibir o ser uno platal , o sino que se esperar el año equivalente parar poderse pensionar ."
"Oscar G. Moreno ya no, con la reforma que hubo el año pasado. "," ","oscar gramo . moreno ya no , con el reformar que haber el año pasar ."
"Fatima Molina deberás en parte de la ley está eso??? Porque a una conocida mira le dijeron que tenía que pagar para poder pensionarse."," ","fatima molina deber en partir de el ley estar ese ? ? ? porque a unir conocer mirar le decir que tener que pagar parar poder pensionarse ."
"Oscar G. Moreno ya no, simplemente se lo van a descontar pero no tiene que pagarlo de regreso. "," ","oscar gramo . moreno ya no , simplemente se el ir a descontar pero no tener que pagarlo de regresar ."
"Oscar G. Moreno "," ","oscar gramo . moreno"
"Deberían de quitar esa ley de edad xq nesecitados nuestro dinero ,más los que no tenemos un empleo,que para qué lo tenemos guardado si no estamos cotizando <U+0001F612><U+0001F612><U+0001F612>"," ","deber de quitar ese ley de edad xq nesecitados nuestro dinero , más el que no tener uno emplear , que parar qué el tener guardar si no estar cotizar <U+0001F612> <U+0001F612> <U+0001F612>"
"Adamaris Guevara Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","adamaris guevara hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Iris Cecil Beza "," ","iris cecil beza"
"Buenas tardes y  las AFP están asiendo este beneficio de anticipo.osea confía también?"," ","bueno tardar y el afp estar asir este beneficiar de anticipo.osea confiar también ?"
"Kathy Diaz "," ","kathy diaz"
"Kathy Diaz Las 2 tienen que darte el anticipo si lo deseas y si cumples con los dichosos requisitos, es un decreto de ley. "," ","kathy diaz el 2 tener que darte el anticipar si el desear y si cumplir con el dichoso requerir , ser uno decretar de ley ."
"Y sera que  a partir d este mes d enero comensara el aumento d la pension ya vendra d 304"," ","y sera que a partir d este mes d enero comensara el aumentar d el pension ya vendra d 304"
"Criss Guerrero Hola, te comentamos que por el momento no hay Ley que avale el aumento de pensión.Saludos. "," ","criss guerrero hola , te comentar que por el momento no haber ley que avalar el aumentar de pensión.saludos ."
"Graciasss"," ","graciasss"
"Criss Guerrero Estamos para ayudarte."," ","criss guerrero estar parar ayudarte ."
"Como poder acceder a una cita por favor"," ","comer poder acceder a unir citar por favor"
"Marixa Tatiana Ortiz Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","marixa tatiana ortiz hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Adónde puedo ingresar para saber más información?? Gracias"," ","adónde poder ingresar parar saber más información ? ? gracia"
"Romeo Guzmán Hola, el proceso de anticipo es de la siguiente manera: "," ","romeo guzmán hola , el procesar de anticipar ser de el siguiente manera :"
"AFP Crecer Muchas Gracias"," ","afp crecer mucho gracia"
"Romeo Guzmán Estamos para ayudarte."," ","romeo guzmán estar parar ayudarte ."
"Sólo esos dos bancos estan autorizados   "," ","sólo ese do banco estan autorizar"
"Tengo 47 años quiero saber si aplico"," ","tener 47 año querer saber si aplicar"
"Mirna Elizabeth Murgas Hola, te compartimos los requisitos para solicitar el anticipo de saldo:"," ","mirna elizabeth murga hola , te compartir el requerir parar solicitar el anticipar de saldar :"
"Maira Palacios Hola, te comentamos que el depósito también se puede hacer vía cheque.Saludos. "," ","maira palacio hola , te comentar que el depósito también se poder hacer vía cheque.saludos ."
"Hasta lo que hemos llegado nos ponen edad y tiempo de cotización para poder gozar de nuestro dinero están mal señores el dinero es nuestro no de ustedes no sean inconscientes a mi ver que las AFP deberían de desaparecer se adueñan de nuestro dinero"," ","hasta el que haber llegar no poner edad y tiempo de cotización parar poder gozar de nuestro dinero estar mal señor el dinero ser nuestro no de vosotros no ser inconsciente a mi ver que el afp deber de desaparecer se adueñar de nuestro dinero"
"Carlos Rivera Diaz   la edad y tiempo de servicio no la pone la AFP  es por ley!!!  Yo así pensaba antes pero no es así  la asamblea legislativa lo decide!!!"," ","carlos rivera diaz el edad y tiempo de servicio no el poner el afp ser por ley ! ! ! yo asir pensar antes pero no ser asir el asamblea legislativo el decidir ! ! !"
"Carlos Rivera Diaz Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","carlos rivera diaz hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Querer hacer el trámite en linea le ponen las mil trabasTengo dias de estar intentando y nada"," ","querer hacer el trámite en linear le poner el mil trabastengo dias de estar intentar y nadar"
"Juan Antonio Avila Cruz Te hemos respondido vía inbox."," ","juan antonio avila cruz te haber responder vía inbox ."
"No me parece q pongan esos años cotizados algunas personas solo han trabajado 2 a 5 años y han puesto su negocio y no se los dan aunque tengan el rango de edad"," ","no me parecer q poner ese año cotizar alguno persona solo haber trabajar 2 a 5 año y haber poner su negociar y no se el dar aunque tener el rango de edad"
"Eugenia Alvarado así es yo trabaje 6 años ahora tengo un pequeño negocio y ese dinero me serviría mucho más con lo del covid no creo que llegue a los 60"," ","eugenia alvarado asir ser yo trabajar 6 año ahora tener uno pequeño negociar y ese dinero me servir mucho más con el del covid no crear que llegar a el 60"
"Eugenia Alvarado Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","eugenia alvarado hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Y aplican las personas aunque no estén trabajando en empresas"," ","y aplicar el persona aunque no estar trabajar en empresa"
"Abigail De Miranda Hola, sí puedes solicitarlo, sólo debes cumplir con los requisitos que exige la Ley.Saludos."," ","abigail de miranda hola , sí poder solicitarlo , sólo debe cumplir con el requerir que exigir el ley.saludos ."
"Ok muchas gracias"," ","ok mucho gracia"
"Abigail De Miranda Estamos para ayudarte."," ","abigail de miranda estar parar ayudarte ."
"Silvia Garcia Hola, te compartimos los requisitos para solicitar el anticipo de saldo:Cumplir con la edad requerida por la Ley (50 años o más para hombres y 45 o más para mujeres) y contar con 10 años cotizados en el SAP (AFPs).¡Saludos!"," ","silvia garcia hola , te compartir el requerir parar solicitar el anticipar de saldo:cumplir con el edad requerir por el ley ( 50 año o más parar hombre y 45 o más parar mujer ) y contar con 10 año cotizar en el sap ( afps ) . ¡ saludo !"
"Silvia Garcia Hola, si cumple con la edad y los 10 años cotizados en AFP exigidos por la Ley, puede solicitar el anticipo de saldo.Saludos."," ","silvia garcia hola , si cumplir con el edad y el 10 año cotizar en afp exigir por el ley , poder solicitar el anticipar de saldo.saludos ."
"Que alguien me diga, si uno ya no quisiera tener el dinero en esa afp deberían de devolverlo independientemente lo ocupe o lo pase a otra afp el dinero es de uno si o si"," ","que alguien me decir , si unir ya no querer tener el dinero en ese afp deber de devolverlo independientemente el ocupar o el pasar a otro afp el dinero ser de unir si o si"
"Como puedo a ser para que me den mi anticipo ya paso 5o y acotisado 98"," ","comer poder a ser parar que me dar mi anticipar ya pasar 5o y acotisado 98"
"Antonio Romero Hola, el trámite puede realizarlo: 1) Visitando una agencia agendando cita en: bit.ly/CitaEnAgencia2) Escribiendo al correo: atencion@crecer.com.sv 3) Desde su usuario web Crecer: bit.ly/UsuarioWebCrecerSaludos."," ","antonio romero hola , el trámite poder realizarlo : 1 ) visitar unir agenciar agendando citar en : bit.ly / citaenagencia2 ) escribir al correar : atencion @crecer . com.sv 3 ) desde su usuario web crecer : bit.ly / usuariowebcrecersaludos ."
"Para que ponen eso si a la hora de que uno les pide ese anticipo estan poniendo trabas , que 10 años trabajdos y es el dinero de uno no habria por que le pongan requisitos"," ","parar que poner ese si a el hora de que unir les pedir ese anticipar estan poner traba , que 10 año trabajdos y ser el dinero de unir no habria por que le poner requerir"
"Candita Gomez Tienes toda la razón yo fui y en su momento me dijeron que me faltaba un mes y luego cuando regrese me . Dijeron que eran muchos meses los que faltaban y dejé de trabajar menos aún me lo darán. De verdad que no tendrían que ponernos requisitos si es nuestro ahorro."," ","candita gomez tener todo el razón yo ir y en su momento me decir que me faltar uno mes y luego cuando regresar me . decir que erar mucho mes el que faltar y dejar de trabajar menos aun me el dar . de verdad que no tener que ponernos requerir si ser nuestro ahorrar ."
"Candita Gomez eso es cierto como que lismona pide uno si es nuestro dinero "," ","candita gomez ese ser cierto comer que lismona pedir unir si ser nuestro dinero"
"Candita Gomez Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","candita gomez hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"Lupita Campos Hola, comentarte que esa medida no está a discreción de las AFPs. Nosotros solamente somos aplicadores de la Ley y no creadores o modificadores de ella. Eso es responsabilidad de las autoridades de Gobierno. Saludos."," ","lupita campo hola , comentarte que ese medir no estar a discreción de el afps . nosotros solamente ser aplicador de el ley y no creador o modificador de él . ese ser responsabilidad de el autoridad de gobernar . saludo ."
"AFP Crecer Bueno yo he querido poder retirar mi 25% y no se si puedo hacerlo porque la vez que fui md. Dijeron me. Faltaban dias  que hacían 1 mes para poder aplicar deje que pasaran como 3 meses luego me. Acerque de. Nuevo y ya no eran dias sino que me. Faltaban meses. No entiendo quiero comunicarme al wsp y no contestan mande mi. Correo y e igual por gusto, y solo me atienden por cita y en mi trabajo actual no me dan permiso y asi como esta la situación no se puede faltar al trabajo. Deberían de ver de que forma nos ayudan con un tel o un wsp, pero respondan porque si no de nada sirve"," ","afp crecer bueno yo haber querer poder retirar mi 25 % y no se si poder hacerlo porque el vez que ir md . decir me . faltar dias que hacer 1 mes parar poder aplicar dejar que pasar comer 3 mes luego me . acercar de . nuevo y ya no erar dias sino que me . faltar mes . no entender querer comunicarme al wsp y no contestar mandar mi . correar y e igual por gustar , y solo me atender por citar y en mi trabajar actual no me dar permiso y asi comer este el situación no se poder faltar al trabajar . deber de ver de que formar no ayudar con uno tel o uno wsp , pero responder porque si no de nadar servir"
